Title,Author,Position,Month,Year
GONE GIRL,by Gillian Flynn,1,1,2013
THE RACKETEER,by John Grisham,2,1,2013
FIFTY SHADES OF GREY,by E. L. James,3,1,2013
SAFE HAVEN,by Nicholas Sparks,4,1,2013
THE FORGOTTEN,by David Baldacci,5,1,2013
"MERRY CHRISTMAS, ALEX CROSS",by James Patterson,6,1,2013
THREAT VECTOR,by Tom Clancy with Mark Greaney,7,1,2013
NOTORIOUS NINETEEN,by Janet Evanovich,8,1,2013
LIFE OF PI,by Yann Martel,9,1,2013
THE BLACK BOX,by Michael Connelly,10,1,2013
THE CASUAL VACANCY,by J. K. Rowling,11,1,2013
FIFTY SHADES DARKER,by E. L. James,12,1,2013
FIFTY SHADES FREED,by E. L. James,13,1,2013
THE COINCIDENCE OF CALLIE AND KAYDEN,by Jessica Sorensen,14,1,2013
THE LAST MAN,by Vince Flynn,15,1,2013
SAFE HAVEN,by Nicholas Sparks,1,2,2013
HOPELESS,by Colleen Hoover,2,2,2013
GONE GIRL,by Gillian Flynn,3,2,2013
THE FIFTH ASSASSIN,by Brad Meltzer,4,2,2013
FIFTY SHADES OF GREY,by E. L. James,5,2,2013
SOMEONE TO LOVE,by Addison Moore,6,2,2013
FIFTY SHADES FREED,by E. L. James,7,2,2013
FIFTY SHADES DARKER,by E. L. James,8,2,2013
THE FORGOTTEN,by David Baldacci,9,2,2013
A MEMORY OF LIGHT,by Robert Jordan and Brandon Sanderson,10,2,2013
THE COINCIDENCE OF CALLIE AND KAYDEN,by Jessica Sorensen,11,2,2013
THE THIRD BULLET,by Stephen Hunter,12,2,2013
THE RACKETEER,by John Grisham,13,2,2013
THE DEVIL COLONY,by James Rollins,14,2,2013
LIFE OF PI,by Yann Martel,15,2,2013
SAFE HAVEN,by Nicholas Sparks,1,3,2013
A WEEK IN WINTER,by Maeve Binchy,2,3,2013
GUILT,by Jonathan Kellerman,3,3,2013
GONE GIRL,by Gillian Flynn,4,3,2013
WAIT FOR ME,by Elisabeth Naughton,5,3,2013
FIFTY SHADES OF GREY,by E. L. James,6,3,2013
RUSH,by Maya Banks,7,3,2013
TOUCH AND GO,by Lisa Gardner,8,3,2013
BEAUTIFUL BASTARD,by Christina Lauren,9,3,2013
PRIVATE BERLIN,by James Patterson and Mark Sullivan,10,3,2013
FIFTY SHADES FREED,by E. L. James,11,3,2013
THE SILVER LININGS PLAYBOOK,by Matthew Quick,12,3,2013
FIFTY SHADES DARKER,by E. L. James,13,3,2013
IF YOU STAY,by Courtney Cole,14,3,2013
THE POWER TRIP,by Jackie Collins,15,3,2013
SIX YEARS,by Harlan Coben,1,4,2013
WAIT FOR YOU,by J. Lynn,2,4,2013
THE STORYTELLER,by Jodi Picoult,3,4,2013
EXPOSED,by Kyra Davis,4,4,2013
"ALEX CROSS, RUN",by James Patterson,5,4,2013
GONE GIRL,by Gillian Flynn,6,4,2013
A WEEK IN WINTER,by Maeve Binchy,7,4,2013
FALLING INTO YOU,by Jasinda Wilder,8,4,2013
THREE SISTERS,by Susan Mallery,9,4,2013
THE HOST,by Stephenie Meyer,10,4,2013
SAFE HAVEN,by Nicholas Sparks,11,4,2013
THE STRANGER,by Kyra Davis,12,4,2013
SURRENDER YOUR LOVE,by J.C. Reed,13,4,2013
FIFTY SHADES OF GREY,by E. L. James,14,4,2013
ADMISSION,by Jean Hanff Korelitz,15,4,2013
WHISKEY BEACH,by Nora Roberts,1,5,2013
DAMAGED,by H. M. Ward,2,5,2013
TAKING EVE,by Iris Johansen,3,5,2013
THE BET,by Rachel Van Dyken,4,5,2013
REAL,by Katy Evans,5,5,2013
BEAUTIFUL STRANGER,by Christina Lauren,6,5,2013
SIX YEARS,by Harlan Coben,7,5,2013
GONE GIRL,by Gillian Flynn,8,5,2013
DADDY'S GONE A HUNTING,by Mary Higgins Clark,9,5,2013
THE WANDERER,by Robyn Carr,10,5,2013
"ALEX CROSS, RUN",by James Patterson,11,5,2013
SAY YOU'RE SORRY,by Michael Robotham,12,5,2013
THE BLACK BOX,by Michael Connelly,13,5,2013
THE FORGOTTEN,by David Baldacci,14,5,2013
LIFE AFTER LIFE,by Kate Atkinson,15,5,2013
INFERNO,by Dan Brown,1,6,2013
THE HIT,by David Baldacci,2,6,2013
EYES WIDE OPEN,by Raine Miller,3,6,2013
12TH OF NEVER,by James Patterson and Maxine Paetro,4,6,2013
DEAD EVER AFTER,by Charlaine Harris,5,6,2013
SILKEN PREY,by John Sandford,6,6,2013
WHISKEY BEACH,by Nora Roberts,7,6,2013
DON'T SAY A WORD,by Barbara Freethy,8,6,2013
GONE GIRL,by Gillian Flynn,9,6,2013
THE BET,by Rachel Van Dyken,10,6,2013
THE ARRANGEMENT 7,by H.M. Ward,11,6,2013
THE SILVER LININGS PLAYBOOK,by Matthew Quick,12,6,2013
ENDER'S GAME,by Orson Scott Card,13,6,2013
LEFT TO DIE,by Lisa Jackson,14,6,2013
FIFTY SHADES OF GREY,by E. L. James,15,6,2013
INFERNO,by Dan Brown,1,7,2013
THE OCEAN AT THE END OF THE LANE,by Neil Gaiman,2,7,2013
AND THE MOUNTAINS ECHOED,by Khaled Hosseini,3,7,2013
THE HEIST,by Janet Evanovich and Lee Goldberg,4,7,2013
ENTWINED WITH YOU,by Sylvia Day,5,7,2013
WORLD WAR Z,by Max Brooks,6,7,2013
BAD MONKEY,by Carl Hiaasen,7,7,2013
SURRENDER YOUR LOVE,by J.C. Reed,8,7,2013
CONQUER YOUR LOVE,by  J.C. Reed,9,7,2013
FOREVER TOO FAR,by Abbi Glines,10,7,2013
THE HIT,by David Baldacci,11,7,2013
A GAME OF THRONES,by George R.R. Martin,12,7,2013
THE 9TH GIRL,by Tami Hoag,13,7,2013
JOYLAND,by Stephen King,14,7,2013
GONE GIRL,by Gillian Flynn,15,7,2013
THE CUCKOO'S CALLING,by Robert Galbraith,1,8,2013
THE ENGLISH GIRL,by Daniel Silva,2,8,2013
FIRST SIGHT,by Danielle Steel,3,8,2013
INFERNO,by Dan Brown,4,8,2013
HUNTING EVE,by Iris Johansen,5,8,2013
SECOND HONEYMOON,by James Patterson and Howard Roughan,6,8,2013
HIDDEN ORDER,by Brad Thor,7,8,2013
AND THE MOUNTAINS ECHOED,by Khaled Hosseini,8,8,2013
PULSE,by Gail McHugh,9,8,2013
GONE GIRL,by Gillian Flynn,10,8,2013
ALPHA BAD BOYS,by Shayla Black and others,11,8,2013
BOMBSHELL,by Catherine Coulter,12,8,2013
LOST AND FOUND IN CEDAR COVE,by Debbie Macomber,13,8,2013
THE OCEAN AT THE END OF THE LANE,by Neil Gaiman,14,8,2013
ENDER'S GAME,by Orson Scott Card,15,8,2013
THE CUCKOO'S CALLING,by Robert Galbraith,1,9,2013
ROSE HARBOR IN BLOOM,by Debbie Macomber,2,9,2013
MISTRESS,by James Patterson and David Ellis,3,9,2013
THE HUSBAND'S SECRET,by Liane Moriarty,4,9,2013
HIGH HEAT,by Lee Child,5,9,2013
THE BOY IN THE SUITCASE,by Lene Kaaberbol,6,9,2013
DUST,by Hugh Howey,7,9,2013
AFTERBURN,by Sylvia Day,8,9,2013
INFERNO,by Dan Brown,9,9,2013
THE SILENT WIFE,by A. S. A. Harrison,10,9,2013
AND THE MOUNTAINS ECHOED,by Khaled Hosseini,11,9,2013
BURN,by Maya Banks,12,9,2013
ENDER'S GAME,by Orson Scott Card,13,9,2013
GONE GIRL,by Gillian Flynn,14,9,2013
THE ENGLISH GIRL,by Daniel Silva,15,9,2013
THE LONGEST RIDE,by Nicholas Sparks,1,10,2013
THANKLESS IN DEATH,by J. D. Robb,2,10,2013
THE FINAL CUT,by Catherine Coulter and J.T. Ellison,3,10,2013
THE QUEST,by Nelson DeMille,4,10,2013
NEVER GO BACK,by Lee Child,5,10,2013
THE HUSBAND'S SECRET,by Liane Moriarty,6,10,2013
W IS FOR WASTED,by Sue Grafton,7,10,2013
DEADLY HEAT,by Richard Castle,8,10,2013
THE RACKETEER,by John Grisham,9,10,2013
OUT OF LINE,by Jen McLaughlin,10,10,2013
THE CUCKOO'S CALLING,by Robert Galbraith,11,10,2013
FIFTY SHADES OF GREY,by E. L. James,12,10,2013
BLEEDING EDGE,by Thomas Pynchon,13,10,2013
INFERNO,by Dan Brown,14,10,2013
GONE GIRL,by Gillian Flynn,15,10,2013
JUST ONE EVIL ACT,by Elizabeth George,1,11,2013
IDENTICAL,by Scott Turow,2,11,2013
THE HUSBAND'S SECRET,by Liane Moriarty,3,11,2013
DOCTOR SLEEP,by Stephen King,4,11,2013
BETWEEN SISTERS,by Kristin Hannah,5,11,2013
BRIDGET JONES: MAD ABOUT THE BOY,by Helen Fielding,6,11,2013
ENDER'S GAME,by Orson Scott Card,7,11,2013
THE LONGEST RIDE,by Nicholas Sparks,8,11,2013
STORM FRONT,by John Sandford,9,11,2013
POLICE,by Jo Nesbo,10,11,2013
TREASURE YOUR LOVE,by J.C. Reed,11,11,2013
GONE,by James Patterson and Michael Ledwidge,12,11,2013
GONE GIRL,by Gillian Flynn,13,11,2013
THE WOLVES OF MIDWINTER,by Anne Rice,14,11,2013
FIFTY SHADES OF GREY,by E. L. James,15,11,2013
SYCAMORE ROW,by John Grisham,1,12,2013
DUST,by Patricia Cornwell,2,12,2013
WHITE FIRE,by Douglas Preston and Lincoln Child,3,12,2013
THE FIRST PHONE CALL FROM HEAVEN,by Mitch Albom,4,12,2013
THE GOLDFINCH,by Donna Tartt,5,12,2013
SCORCHED,by Melody Anne,6,12,2013
DARK WITCH,by Nora Roberts,7,12,2013
ENDER'S GAME,by Orson Scott Card,8,12,2013
THE LONGEST RIDE,by Nicholas Sparks,9,12,2013
DOCTOR SLEEP,by Stephen King,10,12,2013
THE HUSBAND'S SECRET,by Liane Moriarty,11,12,2013
THE VALLEY OF AMAZEMENT,by Amy Tan,12,12,2013
A DANCE WITH DRAGONS,by George R. R. Martin,13,12,2013
MIRAGE,by Clive Cussler with Jack Du Brul,14,12,2013
A GAME OF THRONES,by George R.R. Martin,15,12,2013
SYCAMORE ROW,by John Grisham,1,1,2014
THE GOLDFINCH,by Donna Tartt,2,1,2014
THE FIRST PHONE CALL FROM HEAVEN,by Mitch Albom,3,1,2014
COMMAND AUTHORITY,by Tom Clancy with Mark Greaney,4,1,2014
CROSS MY HEART,by James Patterson,5,1,2014
DOCTOR SLEEP,by Stephen King,6,1,2014
TAKEDOWN TWENTY,by Janet Evanovich,7,1,2014
THE GODS OF GUILT,by Michael Connelly,8,1,2014
KING AND MAXWELL,by David Baldacci,9,1,2014
INFERNO,by Dan Brown,10,1,2014
THE LONGEST RIDE,by Nicholas Sparks,11,1,2014
INNOCENCE,by Dean Koontz,12,1,2014
AND THE MOUNTAINS ECHOED,by Khaled Hosseini,13,1,2014
THE HUSBAND'S SECRET,by Liane Moriarty,14,1,2014
ENDER'S GAME,by Orson Scott Card,15,1,2014
THE GOLDFINCH,by Donna Tartt,1,2,2014
SYCAMORE ROW,by John Grisham,2,2,2014
THE INVENTION OF WINGS,by Sue Monk Kidd,3,2,2014
SCANDALOUS BRIDES,by Annette Blair and others,4,2,2014
FIRST LOVE,by James Patterson and Emily Raymond,5,2,2014
THE HUSBAND'S SECRET,by Liane Moriarty,6,2,2014
GONE GIRL,by Gillian Flynn,7,2,2014
THE ROSIE PROJECT,by Graeme Simsion,8,2,2014
COMMAND AUTHORITY,by Tom Clancy with Mark Greaney,9,2,2014
THE POLARIS PROTOCOL,by Brad Taylor,10,2,2014
FEAR NOTHING,by Lisa Gardner,11,2,2014
THE DEAD IN THEIR VAULTED ARCHES,by Alan Bradley,12,2,2014
STANDUP GUY,by Stuart Woods,13,2,2014
CROSS MY HEART,by James Patterson,14,2,2014
THE GODS OF GUILT,by Michael Connelly,15,2,2014
PRIVATE L.A.,by James Patterson and Mark Sullivan,1,3,2014
KILLER,by Jonathan Kellerman,2,3,2014
THE GOLDFINCH,by Donna Tartt,3,3,2014
THE INVENTION OF WINGS,by Sue Monk Kidd,4,3,2014
SYCAMORE ROW,by John Grisham,5,3,2014
COCKROACHES,by Jo Nesbo,6,3,2014
ORPHAN TRAIN,by Christina Baker Kline,7,3,2014
THE HUSBAND'S SECRET,by Liane Moriarty,8,3,2014
STILL LIFE WITH BREAD CRUMBS,by Anna Quindlen,9,3,2014
WINTER'S TALE,by Mark Helprin,10,3,2014
THE COUNTERFEIT AGENT,by Alex Berenson,11,3,2014
THE HOUSE GIRL,by Tara Conklin,12,3,2014
GIVE IN TO ME,by K.M. Scott,13,3,2014
THE EX GAMES,by J. S. Cooper and Helen Cooper,14,3,2014
THE ROSIE PROJECT,by Graeme Simsion,15,3,2014
MISSING YOU,by Harlan Coben,1,4,2014
THE FIXED TRILOGY,by Laurelin Paige,2,4,2014
THE GOLDFINCH,by Donna Tartt,3,4,2014
MAYBE SOMEDAY,by Colleen Hoover,4,4,2014
THE HUSBAND'S SECRET,by Liane Moriarty,5,4,2014
BEAUTIFUL RUINS,by Jess Walter,6,4,2014
THE INVENTION OF WINGS,by Sue Monk Kidd,7,4,2014
ORPHAN TRAIN,by Christina Baker Kline,8,4,2014
POWER PLAY,by Danielle Steel,9,4,2014
RAISING STEAM,by Terry Pratchett,10,4,2014
SYCAMORE ROW,by John Grisham,11,4,2014
BE CAREFUL WHAT YOU WISH FOR,by Jeffrey Archer,12,4,2014
THE CAIRO AFFAIR,by Olen Steinhauer,13,4,2014
YOU SHOULD HAVE KNOWN,by Jean Hanff Korelitz,14,4,2014
LITTLE GIRL LOST,by Brian McGilloway,15,4,2014
THE COLLECTOR,by Nora Roberts,1,5,2014
THE GOLDFINCH,by Donna Tartt,2,5,2014
THE SPACE BETWEEN,by Diana Gabaldon,3,5,2014
NYPD RED 2,by James Patterson and Marshall Karp,4,5,2014
THE FIXED TRILOGY,by Laurelin Paige,5,5,2014
I'VE GOT YOU UNDER MY SKIN,by Mary Higgins Clark,6,5,2014
SHADOW SPELL,by Nora Roberts,7,5,2014
MISSING YOU,by Harlan Coben,8,5,2014
ORPHAN TRAIN,by Christina Baker Kline,9,5,2014
GONE GIRL,by Gillian Flynn,10,5,2014
THE HUSBAND'S SECRET,by Liane Moriarty,11,5,2014
A GAME OF THRONES,by George R.R. Martin,12,5,2014
THE INVENTION OF WINGS,by Sue Monk Kidd,13,5,2014
CARNAL CURIOSITY,by Stuart Woods,14,5,2014
LITTLE GIRL LOST,by Brian McGilloway,15,5,2014
UNLUCKY 13,by James Patterson and Maxine Paetro,1,6,2014
FIELD OF PREY,by John Sandford,2,6,2014
THE TARGET,by David Baldacci,3,6,2014
THE GOLDFINCH,by Donna Tartt,4,6,2014
GONE GIRL,by Gillian Flynn,5,6,2014
THE SKIN COLLECTOR,by Jeffery Deaver,6,6,2014
INFERNO,by Dan Brown,7,6,2014
NATCHEZ BURNING,by Greg Iles,8,6,2014
ANY OTHER NAME,by Craig Johnson,9,6,2014
THE COLLECTOR,by Nora Roberts,10,6,2014
ORPHAN TRAIN,by Christina Baker Kline,11,6,2014
THE KILL SWITCH,by James Rollins and Grant Blackwood,12,6,2014
THE SON,by Jo Nesbo,13,6,2014
STORM FRONT,by Jim Butcher,14,6,2014
THE HUSBAND'S SECRET,by Liane Moriarty,15,6,2014
TOP SECRET TWENTY-ONE,by Janet Evanovich,1,7,2014
THE SILKWORM,by Robert Galbraith,2,7,2014
ALL FALL DOWN,by Jennifer Weiner,3,7,2014
MR. MERCEDES,by Stephen King,4,7,2014
WRITTEN IN MY OWN HEART'S BLOOD,by Diana Gabaldon,5,7,2014
THE GOLDFINCH,by Donna Tartt,6,7,2014
GONE GIRL,by Gillian Flynn,7,7,2014
SHATTERED,by Kevin Hearne,8,7,2014
A GAME OF THRONES,by George R.R. Martin,9,7,2014
ORPHAN TRAIN,by Christina Baker Kline,10,7,2014
UNLUCKY 13,by James Patterson and Maxine Paetro,11,7,2014
HARDLINE,by Meredith Wild,12,7,2014
THE TARGET,by David Baldacci,13,7,2014
THE HUSBAND'S SECRET,by Liane Moriarty,14,7,2014
THE ARRANGEMENT 15,by H. M. Ward,15,7,2014
THE BOOK OF LIFE,by Deborah Harkness,1,8,2014
THE HEIST,by Daniel Silva,2,8,2014
CUT AND THRUST,by Stuart Woods,3,8,2014
GONE GIRL,by Gillian Flynn,4,8,2014
INVISIBLE,by James Patterson and David Ellis,5,8,2014
ACT OF WAR,by Brad Thor,6,8,2014
THE GOLDFINCH,by Donna Tartt,7,8,2014
TOP SECRET TWENTY-ONE,by Janet Evanovich,8,8,2014
ORPHAN TRAIN,by Christina Baker Kline,9,8,2014
THE SILKWORM,by Robert Galbraith,10,8,2014
SIGHT UNSEEN,by Iris Johansen and Roy Johansen,11,8,2014
POWER PLAY,by Catherine Coulter,12,8,2014
ADDICTED,by Tracy Wolff,13,8,2014
WAYFARING STRANGER,by James Lee Burke,14,8,2014
MR. MERCEDES,by Stephen King,15,8,2014
OUTLANDER,by Diana Gabaldon,1,9,2014
BIG LITTLE LIES,by Liane Moriarty,2,9,2014
MEAN STREAK,by Sandra Brown,3,9,2014
GONE GIRL,by Gillian Flynn,4,9,2014
UPSIDE DOWN,by Fern Michaels,5,9,2014
THE GOLDFINCH,by Donna Tartt,6,9,2014
SYCAMORE ROW,by John Grisham,7,9,2014
ORPHAN TRAIN,by Christina Baker Kline,8,9,2014
DRAGONFLY IN AMBER,by Diana Gabaldon,9,9,2014
NOT A DRILL,by Lee Child,10,9,2014
FIFTY SHADES OF GREY,by E. L. James,11,9,2014
COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE,by Haruki Murakami,12,9,2014
WE ARE NOT OURSELVES,by Matthew Thomas,13,9,2014
THE HEIST,by Daniel Silva,14,9,2014
ALL THE LIGHT WE CANNOT SEE,by Anthony Doerr,15,9,2014
EDGE OF ETERNITY,by Ken Follett,1,10,2014
GONE GIRL,by Gillian Flynn,2,10,2014
PERSONAL,by Lee Child,3,10,2014
OUTLANDER,by Diana Gabaldon,4,10,2014
THE ALCHEMIST,by Paulo Coelho,5,10,2014
TAKE DOWN,by  Fern Michaels,6,10,2014
BIG LITTLE LIES,by Liane Moriarty,7,10,2014
SOMEWHERE SAFE WITH SOMEBODY GOOD,by Jan Karon,8,10,2014
FESTIVE IN DEATH,by J. D. Robb,9,10,2014
THE BEST OF ME,by Nicholas Sparks,10,10,2014
DRAGONFLY IN AMBER,by Diana Gabaldon,11,10,2014
THE GOLEM OF HOLLYWOOD,by Jonathan Kellerman and Jesse Kellerman,12,10,2014
THIS IS WHERE I LEAVE YOU,by Jonathan Tropper,13,10,2014
SYCAMORE ROW,by John Grisham,14,10,2014
PRIVATE DOWN UNDER,by James Patterson and Michael White,15,10,2014
GONE GIRL,by Gillian Flynn,1,11,2014
LEAVING TIME,by Jodi Picoult,2,11,2014
THE BEST OF ME,by Nicholas Sparks,3,11,2014
DEADLINE,by John Sandford,4,11,2014
BURN,by James Patterson and Michael Ledwidge,5,11,2014
STEPBROTHER DEAREST,by Penelope Ward,6,11,2014
DARK PLACES,by Gillian Flynn,7,11,2014
EDGE OF ETERNITY,by Ken Follett,8,11,2014
ALL THE LIGHT WE CANNOT SEE,by Anthony Doerr,9,11,2014
PERSONAL,by Lee Child,10,11,2014
OUTLANDER,by Diana Gabaldon,11,11,2014
I LOVE HOW YOU LOVE ME,by Bella Andre,12,11,2014
SHARP OBJECTS,by Gillian Flynn,13,11,2014
BIG LITTLE LIES,by Liane Moriarty,14,11,2014
ORPHAN TRAIN,by Christina Baker Kline,15,11,2014
CAPTIVATED BY YOU,by Sylvia Day,1,12,2014
THE ESCAPE,by David Baldacci,2,12,2014
GONE GIRL,by Gillian Flynn,3,12,2014
GRAY MOUNTAIN,by John Grisham,4,12,2014
THE BURNING ROOM,by Michael Connelly,5,12,2014
THE CINDERELLA MURDER,by Mary Higgins Clark and Alafair Burke,6,12,2014
REVIVAL,by Stephen King,7,12,2014
THE JOB,by Janet Evanovich and Lee Goldberg,8,12,2014
THE MISTLETOE PROMISE,by Richard Paul Evans,9,12,2014
FLESH AND BLOOD,by Patricia Cornwell,10,12,2014
ALL THE LIGHT WE CANNOT SEE,by Anthony Doerr,11,12,2014
LEAVING TIME,by Jodi Picoult,12,12,2014
BLOOD MAGICK,by Nora Roberts,13,12,2014
BLUE LABYRINTH,by Douglas Preston and Lincoln Child,14,12,2014
HIS SECRETARY,by Melanie Marchande,15,12,2014
GRAY MOUNTAIN,by John Grisham,1,1,2015
GONE GIRL,by Gillian Flynn,2,1,2015
ALL THE LIGHT WE CANNOT SEE,by Anthony Doerr,3,1,2015
HOPE TO DIE,by James Patterson,4,1,2015
THE ESCAPE,by David Baldacci,5,1,2015
REVIVAL,by Stephen King,6,1,2015
THE BURNING ROOM,by Michael Connelly,7,1,2015
TOM CLANCY FULL FORCE AND EFFECT,by Mark Greaney,8,1,2015
BIG LITTLE LIES,by Liane Moriarty,9,1,2015
LEAVING TIME,by Jodi Picoult,10,1,2015
CAPTIVATED BY YOU,by Sylvia Day,11,1,2015
THE MARTIAN,by Andy Weir,12,1,2015
ORPHAN TRAIN,by Christina Baker Kline,13,1,2015
DARK PLACES,by Gillian Flynn,14,1,2015
REDEPLOYMENT,by Phil Klay,15,1,2015
THE GIRL ON THE TRAIN,by Paula Hawkins,1,2,2015
SAINT ODD,by Dean Koontz,2,2,2015
GONE GIRL,by Gillian Flynn,3,2,2015
ALL THE LIGHT WE CANNOT SEE,by Anthony Doerr,4,2,2015
BIG LITTLE LIES,by Liane Moriarty,5,2,2015
COLD COLD HEART,by Tami Hoag,6,2,2015
FIFTY SHADES OF GREY,by E. L. James,7,2,2015
STILL ALICE,by Lisa Genova,8,2,2015
FATAL SCANDAL,by Marie Force,9,2,2015
GRAY MOUNTAIN,by John Grisham,10,2,2015
THE ESCAPE,by David Baldacci,11,2,2015
CORPS SECURITY: THE SERIES,by Harper Sloan,12,2,2015
DARK PLACES,by Gillian Flynn,13,2,2015
ONE NIGHT STAND,by J. S. Cooper and Helen Cooper,14,2,2015
HOPE TO DIE,by James Patterson,15,2,2015
THE GIRL ON THE TRAIN,by Paula Hawkins,1,3,2015
FIFTY SHADES OF GREY,by E. L. James,2,3,2015
OBSESSION IN DEATH,by J. D. Robb,3,3,2015
MOTIVE,by Jonathan Kellerman,4,3,2015
FIFTY SHADES DARKER,by E. L. James,5,3,2015
A SPOOL OF BLUE THREAD,by Anne Tyler,6,3,2015
ALL THE LIGHT WE CANNOT SEE,by Anthony Doerr,7,3,2015
FIFTY SHADES FREED,by E. L. James,8,3,2015
FIFTY SHADES TRILOGY,by E. L. James,9,3,2015
GONE GIRL,by Gillian Flynn,10,3,2015
THE NIGHTINGALE,by Kristin Hannah,11,3,2015
PRIVATE VEGAS,by James Patterson and Maxine Paetro,12,3,2015
BIG LITTLE LIES,by Liane Moriarty,13,3,2015
ONE NIGHT: UNVEILED,by Jodi Ellen Malpas,14,3,2015
TWELVE DAYS,by Alex Berenson,15,3,2015
THE GIRL ON THE TRAIN,by Paula Hawkins,1,4,2015
NYPD RED 3,by James Patterson and Marshall Karp,2,4,2015
ALL THE LIGHT WE CANNOT SEE,by Anthony Doerr,3,4,2015
THE LONGEST RIDE,by Nicholas Sparks,4,4,2015
A DANGEROUS PLACE,by Jacqueline Winspear,5,4,2015
THE NIGHTINGALE,by Kristin Hannah,6,4,2015
A SPOOL OF BLUE THREAD,by Anne Tyler,7,4,2015
PREY,by Michael Crichton,8,4,2015
SOARING,by Kristen Ashley,9,4,2015
THE HUSBAND'S SECRET,by Liane Moriarty,10,4,2015
STILL ALICE,by Lisa Genova,11,4,2015
FIFTY SHADES DARKER,by E. L. James,12,4,2015
GONE GIRL,by Gillian Flynn,13,4,2015
FIFTY SHADES FREED,by E. L. James,14,4,2015
MONSTERS IN THE DARK,by Pepper Winters,15,4,2015
THE LIAR,by Nora Roberts,1,5,2015
THE GIRL ON THE TRAIN,by Paula Hawkins,2,5,2015
THE STRANGER,by Harlan Coben,3,5,2015
THE LONGEST RIDE,by Nicholas Sparks,4,5,2015
EVERY FIFTEEN MINUTES,by Lisa Scottoline,5,5,2015
ALL THE LIGHT WE CANNOT SEE,by Anthony Doerr,6,5,2015
BEAUTIFUL SECRET,by Christina Lauren,7,5,2015
