Title,Author,Position,Month,Year
READY PLAYER ONE,by Ernest Cline,13,9,2017
A GAME OF THRONES,by George R.R. Martin,14,9,2017
THE HANDMAID'S TALE,by Margaret Atwood,15,9,2017
A COLUMN OF FIRE,by Ken Follett,1,10,2017
IT,by Stephen King,2,10,2017
THE GIRL WHO TAKES AN EYE FOR AN EYE,by David Lagercrantz,3,10,2017
ENIGMA,by Catherine Coulter,4,10,2017
THE ROMANOV RANSOM,by Clive Cussler and Robin Burcell,5,10,2017
ENEMY OF THE STATE,by Kyle Mills,6,10,2017
SECRETS IN DEATH,by J.D. Robb,7,10,2017
LITTLE FIRES EVERYWHERE,by Celeste Ng,8,10,2017
BEFORE WE WERE YOURS,by Lisa Wingate,9,10,2017
A LEGACY OF SPIES,by John le Carré,10,10,2017
Y IS FOR YESTERDAY,by Sue Grafton,11,10,2017
TURBO TWENTY-THREE,by Janet Evanovich,12,10,2017
THE WOMAN IN CABIN 10,by Ruth Ware,13,10,2017
THE HANGMAN'S SONNET,by Reed Farrel Coleman,14,10,2017
AMERICAN ASSASSIN,by Vince Flynn,15,10,2017
ORIGIN,by Dan Brown,1,11,2017
DEEP FREEZE,by John Sandford,2,11,2017
THE SUN AND HER FLOWERS,by Rupi Kaur,3,11,2017
IT,by Stephen King,4,11,2017
THE SNOWMAN,by Jo Nesbo,5,11,2017
FAIRYTALE,by Danielle Steel,6,11,2017
THE CUBAN AFFAIR,by Nelson DeMille,7,11,2017
DON'T LET GO,by Harlan Coben,8,11,2017
UNCOMMON TYPE,by Tom Hanks,9,11,2017
A COLUMN OF FIRE,by Ken Follett,10,11,2017
SLEEPING BEAUTIES,by Stephen King and Owen King,11,11,2017
BEFORE WE WERE YOURS,by Lisa Wingate,12,11,2017
MILK AND HONEY,by Rupi Kaur,13,11,2017
MANHATTAN BEACH,by Jennifer Egan,14,11,2017
THE GIRL WHO TAKES AN EYE FOR AN EYE,by David Lagercrantz,15,11,2017
HARDCORE TWENTY-FOUR,by Janet Evanovich,1,12,2017
OATHBRINGER,by Brandon Sanderson,2,12,2017
END GAME,by David Baldacci,3,12,2017
THE MIDNIGHT LINE,by Lee Child,4,12,2017
THE ROOSTER BAR,by John Grisham,5,12,2017
ARTEMIS,by Andy Weir,6,12,2017
ORIGIN,by Dan Brown,7,12,2017
TWO KINDS OF TRUTH,by Michael Connelly,8,12,2017
COUNT TO TEN,by James Patterson and Ashwin Sanghi,9,12,2017
THE SUN AND HER FLOWERS,by Rupi Kaur,10,12,2017
MILK AND HONEY,by Rupi Kaur,11,12,2017
THE SILENT CORNER,by Dean Koontz,12,12,2017
TYPHOON FURY,by Clive Cussler and Boyd Morrison,13,12,2017
DEFIANT QUEEN,by Meghan March,14,12,2017
EVERY BREATH YOU TAKE,by Mary Higgins Clark and Alafair Burke,15,12,2017
ORIGIN,by Dan Brown,1,1,2018
THE ROOSTER BAR,by John Grisham,2,1,2018
THE SUN AND HER FLOWERS,by Rupi Kaur,3,1,2018
THE PEOPLE VS. ALEX CROSS,by James Patterson,4,1,2018
MILK AND HONEY,by Rupi Kaur,5,1,2018
DARKER,by E.L. James,6,1,2018
THE MIDNIGHT LINE,by Lee Child,7,1,2018
ARTEMIS,by Andy Weir,8,1,2018
YEAR ONE,by Nora Roberts,9,1,2018
READY PLAYER ONE,by Ernest Cline,10,1,2018
LITTLE FIRES EVERYWHERE,by Celeste Ng,11,1,2018
END GAME,by David Baldacci,12,1,2018
TOM CLANCY POWER AND EMPIRE,by Marc Cameron,13,1,2018
SLEEPING BEAUTIES,by Stephen King and Owen King,14,1,2018
HARDCORE TWENTY-FOUR,by Janet Evanovich,15,1,2018
CITY OF ENDLESS NIGHT,by Douglas Preston and Lincoln Child,1,2,2018
THE WOMAN IN THE WINDOW,by A.J. Finn,2,2,2018
IRON GOLD,by Pierce Brown,3,2,2018
LITTLE FIRES EVERYWHERE,by Celeste Ng,4,2,2018
ORIGIN,by Dan Brown,5,2,2018
THE WIFE BETWEEN US,by Greer Hendricks and Sarah Pekkanen,6,2,2018
BEFORE WE WERE YOURS,by Lisa Wingate,7,2,2018
"SEX, NOT LOVE",by Vi Keeland,8,2,2018
THE ROOSTER BAR,by John Grisham,9,2,2018
THE SUN AND HER FLOWERS,by Rupi Kaur,10,2,2018
MILK AND HONEY,by Rupi Kaur,11,2,2018
FOREVER MY GIRL,by Heidi McLaughlin,12,2,2018
NO MIDDLE NAME,by Lee Child,13,2,2018
READY PLAYER ONE,by Ernest Cline,14,2,2018
DARKER,by E.L. James,15,2,2018
THE GREAT ALONE,by Kristin Hannah,1,3,2018
UNRAVELED,by Helen Hardt,2,3,2018
NIGHT MOVES,by Jonathan Kellerman,3,3,2018
AN AMERICAN MARRIAGE,by Tayari Jones,4,3,2018
THE WOMAN IN THE WINDOW,by A.J. Finn,5,3,2018
STILL ME,by Jojo Moyes,6,3,2018
READY PLAYER ONE,by Ernest Cline,7,3,2018
THE KREMLIN'S CANDIDATE,by Jason Matthews,8,3,2018
LITTLE FIRES EVERYWHERE,by Celeste Ng,9,3,2018
LOOK FOR ME,by Lisa Gardner,10,3,2018
DARK IN DEATH,by J.D. Robb,11,3,2018
BEFORE WE WERE YOURS,by Lisa Wingate,12,3,2018
THE WIFE BETWEEN US,by Greer Hendricks and Sarah Pekkanen,13,3,2018
ORIGIN,by Dan Brown,14,3,2018
SURPRISE ME,by Sophie Kinsella,15,3,2018
THE RISING SEA,by Clive Cussler and Graham Brown,1,4,2018
CAMINO ISLAND,by John Grisham,2,4,2018
READY PLAYER ONE,by Ernest Cline,3,4,2018
THE GREAT ALONE,by Kristin Hannah,4,4,2018
DEAREST IVIE,by J.R. Ward,5,4,2018
THE ESCAPE ARTIST,by Brad Meltzer,6,4,2018
THE WOMAN IN THE WINDOW,by A.J. Finn,7,4,2018
LITTLE FIRES EVERYWHERE,by Celeste Ng,8,4,2018
RED SPARROW,by Jason Matthews,9,4,2018
THE FLIGHT ATTENDANT,by Chris Bohjalian,10,4,2018
AN AMERICAN MARRIAGE,by Tayari Jones,11,4,2018
BEFORE WE WERE YOURS,by Lisa Wingate,12,4,2018
THE FIX,by David Baldacci,13,4,2018
CARIBBEAN RIM,by Randy Wayne White,14,4,2018
THE SUN AND HER FLOWERS,by Rupi Kaur,15,4,2018
THE FALLEN,by David Baldacci,1,5,2018
READY PLAYER ONE,by Ernest Cline,2,5,2018
AFTER ANNA,by Lisa Scottoline,3,5,2018
CAMINO ISLAND,by John Grisham,4,5,2018
THE GREAT ALONE,by Kristin Hannah,5,5,2018
THE FAMILY GATHERING,by Robyn Carr,6,5,2018
LITTLE FIRES EVERYWHERE,by Celeste Ng,7,5,2018
BEFORE WE WERE YOURS,by Lisa Wingate,8,5,2018
I'VE GOT MY EYES ON YOU,by Mary Higgins Clark,9,5,2018
NOIR,by Christopher Moore,10,5,2018
THEN SHE WAS GONE,by Lisa Jewell,11,5,2018
SHOOT FIRST,by Stuart Woods,12,5,2018
THE RIGHT TIME,by Danielle Steel,13,5,2018
THE WOMAN IN THE WINDOW,by A.J. Finn,14,5,2018
RED ALERT,by James Patterson and Marshall Karp,15,5,2018
THE CAST,by Danielle Steel,1,6,2018
THE 17TH SUSPECT,by James Patterson and Maxine Paetro,2,6,2018
BY INVITATION ONLY,by Dorothea Benton Frank,3,6,2018
PRINCESS,by James Patterson and Rees Jones,4,6,2018
THE FALLEN,by David Baldacci,5,6,2018
THE MIDNIGHT LINE,by Lee Child,6,6,2018
TWISTED PREY,by John Sandford,7,6,2018
THE HIGH TIDE CLUB,by Mary Kay Andrews,8,6,2018
LITTLE FIRES EVERYWHERE,by Celeste Ng,9,6,2018
THE GREAT ALONE,by Kristin Hannah,10,6,2018
THE WIFE BETWEEN US,by Greer Hendricks and Sarah Pekkanen,11,6,2018
INTO THE WATER,by Paula Hawkins,12,6,2018
BEFORE WE WERE YOURS,by Lisa Wingate,13,6,2018
THE HANDMAID'S TALE,by Margaret Atwood,14,6,2018
THE COUPLE NEXT DOOR,by Shari Lapena,15,6,2018
THE PRESIDENT IS MISSING,by Bill Clinton and James Patterson,1,7,2018
THE OUTSIDER,by Stephen King,2,7,2018
TOM CLANCY LINE OF SIGHT,by Mike Maden,3,7,2018
THE PHARAOH KEY,by Douglas Preston and Lincoln Child,4,7,2018
SHELTER IN PLACE,by Nora Roberts,5,7,2018
THE DEATH OF MRS. WESTAWAY,by Ruth Ware,6,7,2018
THE FALLEN,by David Baldacci,7,7,2018
ELEANOR OLIPHANT IS COMPLETELY FINE,by Gail Honeyman,8,7,2018
SOMETHING IN THE WATER,by Catherine Steadman,9,7,2018
WHEN LIFE GIVES YOU LULULEMONS,by Lauren Weisberger,10,7,2018
THE BLACK BOOK,by James Patterson and David Ellis,11,7,2018
LESS,by Andrew Sean Greer,12,7,2018
CRAZY RICH ASIANS,by Kevin Kwan,13,7,2018
BEFORE THE STORM,by Christie Golden,14,7,2018
TWO BY TWO,by Nicholas Sparks,15,7,2018
THE OTHER WOMAN,by Daniel Silva,1,8,2018
THE PRESIDENT IS MISSING,by Bill Clinton and James Patterson,2,8,2018
THE ADVENTURE ZONE: HERE THERE BE GERBLINS,by Clint McElroy et al. Illustrated by Carey Pietsch,3,8,2018
SHARP OBJECTS,by Gillian Flynn,4,8,2018
COTTAGE BY THE SEA,by Debbie Macomber,5,8,2018
ORIGIN,by Dan Brown,6,8,2018
THE OUTSIDER,by Stephen King,7,8,2018
THE PERFECT COUPLE,by Elin Hilderbrand,8,8,2018
ALL WE EVER WANTED,by Emily Giffin,9,8,2018
THE ROOSTER BAR,by John Grisham,10,8,2018
CRAZY RICH ASIANS,by Kevin Kwan,11,8,2018
ALL YOUR PERFECTS,by Colleen Hoover,12,8,2018
SPYMASTER,by Brad Thor,13,8,2018
TRIPLE HOMICIDE,by James Patterson,14,8,2018
ELEANOR OLIPHANT IS COMPLETELY FINE,by Gail Honeyman,15,8,2018
CRAZY RICH ASIANS,by Kevin Kwan,1,9,2018
TEXAS RANGER,by James Patterson and Andrew Bourelle,2,9,2018
ORIGIN,by Dan Brown,3,9,2018
SHARP OBJECTS,by Gillian Flynn,4,9,2018
FEARED,by Lisa Scottoline,5,9,2018
CHINA RICH GIRLFRIEND,by Kevin Kwan,6,9,2018
TAILSPIN,by Sandra Brown,7,9,2018
THE PRESIDENT IS MISSING,by Bill Clinton and James Patterson,8,9,2018
RICH PEOPLE PROBLEMS,by Kevin Kwan,9,9,2018
ELEANOR OLIPHANT IS COMPLETELY FINE,by Gail Honeyman,10,9,2018
THE ROOSTER BAR,by John Grisham,11,9,2018
THE OTHER WOMAN,by Daniel Silva,12,9,2018
THE OUTSIDER,by Stephen King,13,9,2018
LESS,by Andrew Sean Greer,14,9,2018
RICHER THAN SIN,by Meghan March,15,9,2018
LETHAL WHITE,by Robert Galbraith,1,10,2018
TIME'S CONVERT,by Deborah Harkness,2,10,2018
ORIGIN,by Dan Brown,3,10,2018
JUROR #3,by James Patterson and Nancy Allen,4,10,2018
CRAZY RICH ASIANS,by Kevin Kwan,5,10,2018
WHY NOT TONIGHT,by Susan Mallery,6,10,2018
VAMPIRES LIKE IT HOT,by Lynsay Sands,7,10,2018
WHERE THE CRAWDADS SING,by Delia Owens,8,10,2018
CHINA RICH GIRLFRIEND,by Kevin Kwan,9,10,2018
THE TATTOOIST OF AUSCHWITZ,by Heather Morris,10,10,2018
TAILSPIN,by Sandra Brown,11,10,2018
LEVERAGE IN DEATH,by J.D. Robb,12,10,2018
SHADOW TYRANTS,by Clive Cussler and Boyd Morrison,13,10,2018
A SIMPLE FAVOR,by Darcey Bell,14,10,2018
RICH PEOPLE PROBLEMS,by Kevin Kwan,15,10,2018
EVERY BREATH,by Nicholas Sparks,1,11,2018
UNSHELTERED,by Barbara Kingsolver,2,11,2018
HOLY GHOST,by John Sandford,3,11,2018
THE NEXT PERSON YOU MEET IN HEAVEN,by Mitch Albom,4,11,2018
DESPERATE MEASURES,by Stuart Woods,5,11,2018
A SPARK OF LIGHT,by Jodi Picoult,6,11,2018
AMBUSH,by James Patterson and James O. Born,7,11,2018
WHERE THE CRAWDADS SING,by Delia Owens,8,11,2018
THE WITCH ELM,by Tana French,9,11,2018
CRAZY RICH ASIANS,by Kevin Kwan,10,11,2018
VINCE FLYNN: RED WAR,by Kyle Mills,11,11,2018
WINTER IN PARADISE,by Elin Hilderbrand,12,11,2018
THE TATTOOIST OF AUSCHWITZ,by Heather Morris,13,11,2018
ELEANOR OLIPHANT IS COMPLETELY FINE,by Gail Honeyman,14,11,2018
THE CONSUMING FIRE,by John Scalzi,15,11,2018
LOOK ALIVE TWENTY-FIVE,by Janet Evanovich,1,12,2018
LONG ROAD TO MERCY,by David Baldacci,2,12,2018
PAST TENSE,by Lee Child,3,12,2018
THE RECKONING,by John Grisham,4,12,2018
NINE PERFECT STRANGERS,by Liane Moriarty,5,12,2018
DARK SACRED NIGHT,by Michael Connelly,6,12,2018
EVERY BREATH,by Nicholas Sparks,7,12,2018
WHERE THE CRAWDADS SING,by Delia Owens,8,12,2018
ELEVATION,by Stephen King,9,12,2018
THE TATTOOIST OF AUSCHWITZ,by Heather Morris,10,12,2018
THE NEXT PERSON YOU MEET IN HEAVEN,by Mitch Albom,11,12,2018
ELEANOR OLIPHANT IS COMPLETELY FINE,by Gail Honeyman,12,12,2018
CRAZY RICH ASIANS,by Kevin Kwan,13,12,2018
SEA OF GREED,by Clive Cussler and Graham Brown,14,12,2018
YOU DON'T OWN ME,by Mary Higgins Clark and Alafair Burke,15,12,2018
THE RECKONING,by John Grisham,1,1,2019
EVERY BREATH,by Nicholas Sparks,2,1,2019
FIRE AND BLOOD,by George R.R. Martin,3,1,2019
WHERE THE CRAWDADS SING,by Delia Owens,4,1,2019
TARGET: ALEX CROSS,by James Patterson,5,1,2019
A DOG'S WAY HOME,by W. Bruce Cameron,6,1,2019
PAST TENSE,by Lee Child,7,1,2019
THE TATTOOIST OF AUSCHWITZ,by Heather Morris,8,1,2019
LONG ROAD TO MERCY,by David Baldacci,9,1,2019
NINE PERFECT STRANGERS,by Liane Moriarty,10,1,2019
THE NEXT PERSON YOU MEET IN HEAVEN,by Mitch Albom,11,1,2019
SAFE AND SOUND,by Fern Michaels,12,1,2019
MILK AND HONEY,by Rupi Kaur,13,1,2019
ELEVATION,by Stephen King,14,1,2019
TOM CLANCY: OATH OF OFFICE,by Marc Cameron,15,1,2019
WHERE THE CRAWDADS SING,by Delia Owens,1,2,2019
LIAR LIAR,by James Patterson and Candice Fox,2,2,2019
THE TATTOOIST OF AUSCHWITZ,by Heather Morris,3,2,2019
THE RECKONING,by John Grisham,4,2,2019
TURNING POINT,by Danielle Steel,5,2,2019
AN ANONYMOUS GIRL,by Greer Hendricks and Sarah Pekkanen,6,2,2019
DEAL WITH THE DEVIL,by Meghan March,7,2,2019
ELEANOR OLIPHANT IS COMPLETELY FINE,by Gail Honeyman,8,2,2019
A DOG'S WAY HOME,by W. Bruce Cameron,9,2,2019
THE HOUSE NEXT DOOR,by James Patterson,10,2,2019
SUMMONED TO THE THIRTEENTH GRAVE,by Darynda Jones,11,2,2019
SECURING CAITE,by Susan Stoker,12,2,2019
NINE PERFECT STRANGERS,by Liane Moriarty,13,2,2019
A SOLDIER'S RETURN,by RaeAnne Thayne,14,2,2019
THE NEW IBERIA BLUES,by James Lee Burke,15,2,2019
WHERE THE CRAWDADS SING,by Delia Owens,1,3,2019
THE TATTOOIST OF AUSCHWITZ,by Heather Morris,2,3,2019
CONNECTIONS IN DEATH,by J.D. Robb,3,3,2019
THE LOST GIRLS OF PARIS,by Pam Jenoff,4,3,2019
THE SILENT PATIENT,by Alex Michaelides,5,3,2019
THE WEDDING GUEST,by Jonathan Kellerman,6,3,2019
ELEANOR OLIPHANT IS COMPLETELY FINE,by Gail Honeyman,7,3,2019
AN ANONYMOUS GIRL,by Greer Hendricks and Sarah Pekkanen,8,3,2019
THE RECKONING,by John Grisham,9,3,2019
"BLACK LEOPARD, RED WOLF",by Marlon James,10,3,2019
AN AMERICAN MARRIAGE,by Tayari Jones,11,3,2019
LUCK OF THE DEVIL,by Meghan March,12,3,2019
SHELTER FOR QUINN,by Susan Stoker,13,3,2019
FIFTY FIFTY,by James Patterson and Candice Fox,14,3,2019
LILAC GIRLS,by Martha Hall Kelly,15,3,2019
WHERE THE CRAWDADS SING,by Delia Owens,1,4,2019
RUN AWAY,by Harlan Coben,2,4,2019
CELTIC EMPIRE,by Clive Cussler and Dirk Cussler,3,4,2019
THE FIRST LADY,by James Patterson and Brendan DuBois,4,4,2019
THE WOMAN IN THE WINDOW,by A.J. Finn,5,4,2019
THE TATTOOIST OF AUSCHWITZ,by Heather Morris,6,4,2019
WOLF PACK,by C.J. Box,7,4,2019
THE LOST GIRLS OF PARIS,by Pam Jenoff,8,4,2019
CEMETERY ROAD,by Greg Iles,9,4,2019
THE SILENT PATIENT,by Alex Michaelides,10,4,2019
DAISY JONES & THE SIX,by Taylor Jenkins Reid,11,4,2019
ELEANOR OLIPHANT IS COMPLETELY FINE,by Gail Honeyman,12,4,2019
THE FALLEN,by David Baldacci,13,4,2019
SILENT NIGHT,by Danielle Steel,14,4,2019
THE HUNTRESS,by Kate Quinn,15,4,2019
REDEMPTION,by David Baldacci,1,5,2019
THE MISTER,by E L James,2,5,2019
WHERE THE CRAWDADS SING,by Delia Owens,3,5,2019
NORMAL PEOPLE,by Sally Rooney,4,5,2019
A GAME OF THRONES,by George R.R. Martin,5,5,2019
THE TATTOOIST OF AUSCHWITZ,by Heather Morris,6,5,2019
THE 13-MINUTE MURDER,by James Patterson,7,5,2019
THE WOMAN IN THE WINDOW,by A.J. Finn,8,5,2019
THE OVERSTORY,by Richard Powers,9,5,2019
LOST ROSES,by Martha Hall Kelly,10,5,2019
AFTER,by Anna Todd,11,5,2019
A GENTLEMAN IN MOSCOW,by Amor Towles,12,5,2019
SOMEONE KNOWS,by Lisa Scottoline,13,5,2019
THE LOST GIRLS OF PARIS,by Pam Jenoff,14,5,2019
STAR WARS: MASTER & APPRENTICE,by Claudia Gray,15,5,2019
WHERE THE CRAWDADS SING,by Delia Owens,1,6,2019
THE NIGHT WINDOW,by Dean Koontz,2,6,2019
THE 18TH ABDUCTION,by James Patterson and Maxine Paetro,3,6,2019
THE MISTER,by E L James,4,6,2019
PAST TENSE,by Lee Child,5,6,2019
REDEMPTION,by David Baldacci,6,6,2019
A GAME OF THRONES,by George R.R. Martin,7,6,2019
BLESSING IN DISGUISE,by Danielle Steel,8,6,2019
NEON PREY,by John Sandford,9,6,2019
THE NEVER GAME,by Jeffery Deaver,10,6,2019
SUNSET BEACH,by Mary Kay Andrews,11,6,2019
THE TATTOOIST OF AUSCHWITZ,by Heather Morris,12,6,2019
LITTLE FIRES EVERYWHERE,by Celeste Ng,13,6,2019
THE GUEST BOOK,by Sarah Blake,14,6,2019
THE UNHONEYMOONERS,by Christina Lauren,15,6,2019
SUMMER OF '69,by Elin Hilderbrand,1,7,2019
WHERE THE CRAWDADS SING,by Delia Owens,2,7,2019
THE RECKONING,by John Grisham,3,7,2019
CITY OF GIRLS,by Elizabeth Gilbert,4,7,2019
MRS. EVERYTHING,by Jennifer Weiner,5,7,2019
BEFORE WE WERE YOURS,by Lisa Wingate,6,7,2019
UNSOLVED,by James Patterson and David Ellis,7,7,2019
LITTLE FIRES EVERYWHERE,by Celeste Ng,8,7,2019
THE TATTOOIST OF AUSCHWITZ,by Heather Morris,9,7,2019
GOOD OMENS,by Neil Gaiman and Terry Pratchett,10,7,2019
TOM CLANCY: ENEMY CONTACT,by Mike Maden,11,7,2019
THE ORACLE,by Clive Cussler and Robin Burcell,12,7,2019
COTTAGE BY THE SEA,by Debbie Macomber,13,7,2019
THERE GOES MY HEART,by Bella Andre,14,7,2019
PAST TENSE,by Lee Child,15,7,2019
THE NEW GIRL,by Daniel Silva,1,8,2019
WHERE THE CRAWDADS SING,by Delia Owens,2,8,2019
THE NICKEL BOYS,by Colson Whitehead,3,8,2019
THE ADVENTURE ZONE: MURDER ON THE ROCKPORT LIMITED!,by Clint McElroy et al. Illustrated by Carey Pietsch,4,8,2019
UNDER CURRENTS,by Nora Roberts,5,8,2019
WINDOW ON THE BAY,by Debbie Macomber,6,8,2019
SUMMER OF '69,by Elin Hilderbrand,7,8,2019
THE RECKONING,by John Grisham,8,8,2019
EVVIE DRAKE STARTS OVER,by Linda Holmes,9,8,2019
BEFORE WE WERE YOURS,by Lisa Wingate,10,8,2019
THE TATTOOIST OF AUSCHWITZ,by Heather Morris,11,8,2019
SHAMED,by Linda Castillo,12,8,2019
SOLD ON A MONDAY,by Kristina McMorris,13,8,2019
CITY OF GIRLS,by Elizabeth Gilbert,14,8,2019
LITTLE FIRES EVERYWHERE,by Celeste Ng,15,8,2019
WHERE THE CRAWDADS SING,by Delia Owens,1,9,2019
THE BITTERROOTS,by C.J. Box,2,9,2019
CONTRABAND,by Stuart Woods,3,9,2019
THE INN,by James Patterson and Candice Fox,4,9,2019
THE ART OF RACING IN THE RAIN,by Garth Stein,5,9,2019
BLOOD TRUTH,by J.R. Ward,6,9,2019
ONE GOOD DEED,by David Baldacci,7,9,2019
THE NICKEL BOYS,by Colson Whitehead,8,9,2019
THE TURN OF THE KEY,by Ruth Ware,9,9,2019
THE NEW GIRL,by Daniel Silva,10,9,2019
OUTFOX,by Sandra Brown,11,9,2019
THE WALLFLOWER WAGER,by Tessa Dare,12,9,2019
THE WARNING,by James Patterson and Robison Wells,13,9,2019
THE TATTOOIST OF AUSCHWITZ,by Heather Morris,14,9,2019
LITTLE FIRES EVERYWHERE,by Celeste Ng,15,9,2019
THE INSTITUTE,by Stephen King,1,10,2019
THE TESTAMENTS,by Margaret Atwood,2,10,2019
WHERE THE CRAWDADS SING,by Delia Owens,3,10,2019
LAND OF WOLVES,by Craig Johnson,4,10,2019
THE GOLDFINCH,by Donna Tartt,5,10,2019
THE HANDMAID'S TALE,by Margaret Atwood,6,10,2019
IT,by Stephen King,7,10,2019
THE GIRL WHO LIVED TWICE,by David Lagercrantz,8,10,2019
KILLER INSTINCT,by James Patterson and Howard Roughan,9,10,2019
THE TATTOOIST OF AUSCHWITZ,by Heather Morris,10,10,2019
THE STALKING,by Heather Graham,11,10,2019
VENDETTA IN DEATH,by J. D. Robb,12,10,2019
A LITTLE HATRED,by Joe Abercrombie,13,10,2019
BEFORE WE WERE YOURS,by Lisa Wingate,14,10,2019
THE TITANIC SECRET,by Clive Cussler and Jack Du Brul,15,10,2019
THE GUARDIANS,by John Grisham,1,11,2019
WHERE THE CRAWDADS SING,by Delia Owens,2,11,2019
THE 19TH CHRISTMAS,by James Patterson and Maxine Paetro,3,11,2019
"OLIVE, AGAIN",by Elizabeth Strout,4,11,2019
STEALTH,by Stuart Woods,5,11,2019
THE INSTITUTE,by Stephen King,6,11,2019
THE DUTCH HOUSE,by Ann Patchett,7,11,2019
THE WATER DANCER,by Ta-Nehisi Coates,8,11,2019
THE TESTAMENTS,by Margaret Atwood,9,11,2019
BLOODY GENIUS,by John Sandford,10,11,2019
THE GIVER OF STARS,by Jojo Moyes,11,11,2019
DOCTOR SLEEP,by Stephen King,12,11,2019
NINTH HOUSE,by Leigh Bardugo,13,11,2019
WHAT HAPPENS IN PARADISE,by Elin Hilderbrand,14,11,2019
VINCE FLYNN: LETHAL AGENT,by Kyle Mills,15,11,2019
TWISTED TWENTY-SIX,by Janet Evanovich,1,12,2019
BLUE MOON,by Lee Child,2,12,2019
THE GUARDIANS,by John Grisham,3,12,2019
WHERE THE CRAWDADS SING,by Delia Owens,4,12,2019
THE NIGHT FIRE,by Michael Connelly,5,12,2019
"OLIVE, AGAIN",by Elizabeth Strout,6,12,2019
THE DUTCH HOUSE,by Ann Patchett,7,12,2019
THE GIVER OF STARS,by Jojo Moyes,8,12,2019
THE INSTITUTE,by Stephen King,9,12,2019
THE 19TH CHRISTMAS,by James Patterson and Maxine Paetro,10,12,2019
MICHAEL CRICHTON: THE ANDROMEDA EVOLUTION,by Daniel H. Wilson,11,12,2019
THE FAMILY UPSTAIRS,by Lisa Jewell,12,12,2019
THE DESERTER,by Nelson DeMille and Alex DeMille,13,12,2019
THE STARLESS SEA,by Erin Morgenstern,14,12,2019
THE TESTAMENTS,by Margaret Atwood,15,12,2019
